                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 1.5461,                0.67219,                 1.0163,                 1.8167,                0.70241,                0.98091,                 0.8911,                0.85827,                0.91055,                0.44827,                 1.6274,                0.65661,                 1.0109,                 1.7893,                0.63459,                 1.0057,               0.007888,               0.007888,               0.007888
                     67,                 1.5583,                0.68073,                  1.016,                 1.8255,                0.70661,                0.98095,                 0.8854,                0.85806,                0.90834,                0.44148,                 1.6443,                0.66321,                 1.0162,                 1.8119,                0.64332,                 1.0125,               0.007855,               0.007855,               0.007855
                     68,                 1.5466,                0.68122,                 1.0142,                 1.8133,                0.69943,                0.98077,                0.88775,                0.85987,                0.91258,                0.45307,                 1.6072,                0.65645,                 1.0074,                 1.7685,                0.62918,                 1.0014,               0.007822,               0.007822,               0.007822
                     69,                 1.5483,                0.68003,                 1.0139,                 1.8134,                0.70893,                0.97986,                 0.8888,                0.85811,                 0.9107,                 0.4512,                   1.62,                0.65683,                 1.0096,                 1.7795,                0.63575,                 1.0049,               0.007789,               0.007789,               0.007789
                     70,                 1.5446,                0.67338,                 1.0153,                 1.8106,                0.69913,                0.98136,                0.89397,                0.86012,                0.91154,                0.45211,                 1.6249,                 0.6536,                 1.0118,                 1.7815,                0.63039,                 1.0083,               0.007756,               0.007756,               0.007756
                     71,                 1.5526,                 0.6791,                 1.0091,                 1.8194,                0.70712,                0.97489,                0.88944,                0.85995,                  0.911,                0.44846,                 1.6255,                0.65378,                 1.0115,                 1.7893,                0.64162,                 1.0067,               0.007723,               0.007723,               0.007723
                     72,                 1.5435,                0.67125,                 1.0104,                 1.8098,                0.69403,                0.97779,                0.89185,                 0.8618,                0.91217,                 0.4502,                 1.6219,                0.65209,                 1.0099,                 1.7868,                0.62703,                 1.0064,                0.00769,                0.00769,                0.00769
                     73,                 1.5485,                0.67165,                 1.0122,                 1.8111,                0.69709,                 0.9797,                0.88565,                0.84703,                0.90161,                0.43053,                 1.7046,                0.66987,                 1.0389,                 1.8662,                0.66222,                 1.0351,               0.007657,               0.007657,               0.007657
                     74,                  1.553,                0.67824,                 1.0123,                 1.8197,                0.70262,                0.98004,                0.89009,                 0.8572,                0.91194,                0.45534,                 1.6015,                0.65383,                 1.0049,                  1.761,                0.63461,                 0.9997,               0.007624,               0.007624,               0.007624
                     75,                  1.545,                0.67582,                 1.0096,                 1.8154,                0.69941,                 0.9768,                0.88836,                 0.8595,                0.91198,                0.45239,                 1.6078,                0.65189,                 1.0055,                 1.7673,                0.62878,                 1.0015,               0.007591,               0.007591,               0.007591
                     76,                 1.5456,                0.67542,                 1.0099,                 1.8155,                0.69775,                0.97618,                0.89002,                0.85975,                0.91312,                0.45192,                 1.6226,                0.65363,                 1.0096,                 1.7808,                0.62882,                 1.0047,               0.007558,               0.007558,               0.007558
                     77,                 1.5455,                0.67113,                  1.007,                 1.8098,                0.69358,                0.97266,                 0.8904,                0.85782,                0.91151,                0.45026,                 1.6253,                0.64941,                 1.0098,                 1.7839,                0.62984,                  1.003,               0.007525,               0.007525,               0.007525
                     78,                 1.5383,                0.66855,                 1.0133,                 1.8045,                0.69162,                0.98008,                0.89435,                0.85975,                0.91184,                 0.4529,                 1.6117,                0.64927,                 1.0063,                 1.7769,                0.62381,                 1.0048,               0.007492,               0.007492,               0.007492
                     79,                 1.5405,                0.67384,                 1.0084,                 1.8095,                0.70069,                 0.9746,                0.89112,                 0.8598,                0.91233,                0.45407,                 1.6123,                 0.6494,                 1.0062,                 1.7712,                0.62785,                 1.0033,               0.007459,               0.007459,               0.007459
                     80,                 1.5396,                 0.6698,                 1.0102,                 1.8029,                0.69394,                0.97799,                0.89222,                 0.8634,                0.91361,                0.45184,                 1.6181,                 0.6488,                 1.0082,                 1.7804,                0.62213,                 1.0058,               0.007426,               0.007426,               0.007426
                     81,                 1.5385,                0.66528,                 1.0096,                  1.804,                0.68952,                0.97879,                 0.8948,                0.85969,                 0.9142,                0.45189,                 1.6154,                0.64779,                 1.0079,                 1.7796,                0.62368,                 1.0069,               0.007393,               0.007393,               0.007393
                     82,                 1.5375,                0.67111,                 1.0123,                 1.8031,                0.69308,                0.97946,                0.89238,                0.85924,                0.91246,                0.45258,                 1.6158,                0.65102,                 1.0075,                 1.7807,                0.62645,                 1.0049,                0.00736,                0.00736,                0.00736
                     83,                 1.5382,                0.66939,                 1.0115,                  1.802,                0.68763,                 0.9773,                0.89056,                 0.8618,                0.91352,                0.44887,                 1.6314,                0.65199,                 1.0147,                 1.7931,                0.62818,                 1.0117,               0.007327,               0.007327,               0.007327
                     84,                 1.5302,                0.66625,                 1.0118,                 1.7969,                0.68849,                 0.9795,                0.89292,                0.86718,                0.91576,                0.45688,                 1.6005,                 0.6414,                 1.0041,                 1.7613,                0.61571,                0.99999,               0.007294,               0.007294,               0.007294
                     85,                 1.5443,                0.66717,                 1.0136,                 1.8085,                0.68839,                0.97906,                0.88872,                0.86373,                0.91163,                0.45305,                 1.6152,                0.64695,                 1.0077,                 1.7792,                0.62209,                 1.0028,               0.007261,               0.007261,               0.007261
                     86,                  1.533,                0.66825,                   1.01,                 1.7941,                0.69412,                0.97691,                0.89367,                0.86525,                0.91435,                0.45392,                 1.6139,                0.64539,                 1.0093,                 1.7744,                0.61649,                 1.0054,               0.007228,               0.007228,               0.007228
                     87,                 1.5234,                0.65851,                 1.0087,                 1.7922,                0.68155,                0.97578,                 0.8938,                0.86586,                0.91594,                0.45572,                 1.6133,                0.64352,                 1.0073,                 1.7702,                0.62371,                 1.0021,               0.007195,               0.007195,               0.007195
                     88,                  1.531,                0.66722,                 1.0075,                 1.7983,                0.68935,                0.97362,                0.89385,                 0.8657,                0.91772,                 0.4581,                 1.6075,                0.64167,                 1.0043,                 1.7655,                0.61678,                 1.0008,               0.007162,               0.007162,               0.007162
                     89,                 1.5309,                0.66694,                 1.0058,                 1.7967,                0.68954,                0.97404,                0.89656,                0.86583,                0.91485,                0.45376,                 1.6153,                0.64227,                  1.006,                 1.7802,                0.62094,                 1.0019,               0.007129,               0.007129,               0.007129
                     90,                 1.5277,                0.66416,                 1.0041,                 1.7915,                0.68799,                0.97168,                0.89357,                0.86993,                0.91669,                0.45777,                 1.6004,                0.63757,                 1.0028,                 1.7646,                0.61206,                0.99711,               0.007096,               0.007096,               0.007096
                     91,                   1.52,                0.65456,                 1.0081,                 1.7849,                0.67557,                0.97721,                0.89442,                0.86521,                0.91427,                0.45493,                 1.6089,                0.64004,                 1.0059,                 1.7709,                0.62164,                 1.0031,               0.007063,               0.007063,               0.007063
                     92,                 1.5271,                0.66207,                 1.0059,                 1.7972,                  0.685,                0.97372,                0.89533,                0.86197,                 0.9149,                0.45352,                 1.6161,                0.64343,                 1.0098,                 1.7805,                0.61989,                  1.008,                0.00703,                0.00703,                0.00703
                     93,                 1.5285,                0.65608,                 1.0058,                 1.7934,                0.67843,                0.97581,                0.89373,                0.86661,                0.91551,                0.45459,                 1.6101,                0.64106,                  1.005,                 1.7742,                0.61753,                 1.0013,               0.006997,               0.006997,               0.006997
                     94,                 1.5331,                0.66257,                 1.0026,                 1.7973,                  0.684,                0.96999,                0.89572,                0.86599,                0.91543,                0.45844,                 1.5929,                 0.6384,                 1.0018,                 1.7554,                0.61146,                0.99706,               0.006964,               0.006964,               0.006964
